"","fsdisability","HH6.x","HH7.x","HC0","HW1","HW3","HW2","HC8","WS1","WS3","WS7","WS11","helevel","melevel","windex5.y","CB3","CB7","CB11","PR3","FCD2F","FCD2G","FCD2I","FCD2J","FCD2K","FCF1","FCF2","FCF3","HL4","Refugee"
"189",2,2,30,12,6,NA,NA,1,11,NA,2,13,2,3,3,7,1,1,0,2,2,2,2,2,2,2,2,1,3
"190",2,2,30,12,1,1,1,1,11,NA,2,12,3,2,3,16,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"191",2,2,30,12,1,1,1,1,11,NA,2,12,3,3,4,6,1,1,NA,2,2,2,2,2,2,2,2,1,3
"192",2,2,30,12,1,1,1,1,11,NA,2,12,1,3,5,7,1,1,10,1,1,1,1,1,2,2,2,1,3
"193",2,2,30,12,1,1,1,1,11,NA,2,13,2,3,5,12,1,1,0,2,2,2,1,2,2,2,2,2,3
"194",2,2,30,13,1,1,1,1,11,NA,2,13,1,2,5,16,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,3
"195",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,2,14,1,1,10,2,2,2,2,2,1,2,2,2,3
"196",NA,2,30,12,1,1,1,1,11,NA,2,12,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
"197",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,5,11,1,2,5,2,2,2,2,2,2,2,2,2,3
"198",2,2,30,12,1,1,1,1,11,NA,2,13,1,1,5,13,1,1,0,2,2,2,2,2,2,2,2,2,3
"199",2,2,30,12,1,1,1,1,11,NA,1,12,1,1,3,15,1,1,NA,NA,NA,NA,NA,NA,2,2,2,2,1
"200",1,2,30,12,1,1,1,1,11,NA,2,12,2,2,3,8,1,1,10,1,2,2,2,2,1,2,2,2,3
"201",2,2,30,12,1,1,1,1,11,NA,2,13,3,3,5,8,1,1,10,2,2,2,2,2,2,2,2,1,3
